comment;calificacion
"Me parece un modo adecuado y practico de calificar";"Totalmente de acuerdo"
"Es muy dinamica para la evalucion, pues muestra instantaneamente un feedback y la nota.";"Totalmente de acuerdo"
"Cuando la programacion del codigo finaliza y se han probado los casos de prueba, al enviar el codigo para ser testeado se muestran los casos que pasaron como los que no pasaron y el porcentaje de acierto.";"Totalmente de acuerdo"
"Porque es una calificacion subjetiva, con base en los casos de pruebas.";"Totalmente de acuerdo"
"Los resultados siempre son inmediatos, asi que eso me da nocion de mi desarrollo en el curso";"Totalmente de acuerdo"
"al ejecutar un codigo y ver que alguna respuesta estaba mal si el profesor lo permitia se podia ver el caso que estuvo mal y asi corregir el codigo";"De acuerdo"
"Si ya que nos permite ver en que nos equivocamos y la revision del juez es rapida.";"Totalmente de acuerdo"
"Mostraba el progreso de cada una de las tareas dejadas";"De acuerdo"
"Los casos de prueba estuvieron bien la mayoria de veces y ayudaban a ver errores simples que se pasan en alto.";"Totalmente de acuerdo"
"Fue muy util a la hora de presentar la calificacion en base a los casos de prueba, era solo cuestion de poner atencion a lo que se pedia y a las salidas propuestas en los ejemplos";"Totalmente de acuerdo"
"Al instante conocia mi calificacion, por lo que me mantuve al tanto de mi estado academico";"Totalmente de acuerdo"
"Si porque mostraba con los casos de prueba si funcionaba de manera correcta, aunque a veces no todos los ejercicios quedaban correctos";"De acuerdo"
"UNCode es una herramienta muy util a la hora de comprobar tu codigo y su funcionalidad, entonces cuando no acepta todos los casos es porque no esta del todo bien planteado tu codigo, asi de esta manera te ayuda a mejorar bastante, y tienes tu calificacion inmediata segun la cantidad de casos de prueba correctos.";"De acuerdo"
"Dado que uncode no da calificaciones absolutas, es decir, no se trata de un  aprobo  o  no aprobo , permite que el estudiante conozca sus falencias y errores, y mediante los porcentajes de acierto de cada programa, demuestra el verdadero proceso de aprendizaje de cada estudiante";"Totalmente de acuerdo"
"La salida tiene que ser identica a las que tiene en la memoria y puede salir que un punto esta mal por un espacio, una mayuscula, cosas que pueden ser irrelevantes en el programa.";"De acuerdo"
"Segun los casos que pasaba el codigo se generaba automaticamente la nota";"De acuerdo"
"por que.... la mayoria de trabajos los hacia en UNCode y los probaba alli, supongo";"De acuerdo"
"Me da los procedimientos en los cuales me equivocaba y los casos de prueba que mi programa no servia";"De acuerdo"
"porque uncode calificaba sobre el % de aciertos del programa en casos de prueba ya preestablecidos, por lo que un porcentaje intermedio significaba muchas veces el programa estaba mal escrito, pero que por suerte algunas pruebas si dan los resultados esperados. Quedandose muchos a gusto con notas intermedias que no garantizan que el programa este bien hecho";"Algo de acuerdo"
"Me hacia ver que errores tenia, y me hacia sentir seguro con respecto a mis capacidades, ademas de darme la determinacion para seguir adelante";"Totalmente de acuerdo"
"Como se dijo anteriormente, UNCODE califica con respecto al porcentaje de casos satisfactorios, por lo que considero justa la calificacion automatica del juez.";"De acuerdo"
"Muy preciso siempre";"Algo de acuerdo"
"No todas las notas fueron por UNcode";"De acuerdo"
"Aunque la plataforma es buena, algunas veces las revisiones salian mal por un espacio o por un salto de linea, y en concordancia con algunos ejercicios, mencionados errores que sacaba la plataforma no eran significativos con la propuesta del problema.";"Algo de acuerdo"
"Porque tenia ya ejemplos por defectos en los cuales te ouedes guiar";"Algo de acuerdo"
"Debido a que es una manera mas optima de revisar y calificar los programas, a la vez que el estudiante se puede guiar tambien por su cuenta con los casos de prueba.";"De acuerdo"
"si, un manejo de los porcentajes mas sencillos y exactos";"De acuerdo"
"El hecho de que la plataforma califique de acuerdo a la eficiencia del codigo al realizar una tarea a traves de las entradas y salidas de datos permite la diversificacion de codigos para satisfacer una misma tarea.";"De acuerdo"
"Porque solo con subir el codigo bastaba para recibir la calificacion del ejercicio a partir de los casos de prueba, lo cual es muy util y permite aprender mejor que si uno mandara el codigo al profesor para que lo pruebe sin que uno pueda saber los resultados o el formato en el que espera la respuesta.";"Totalmente de acuerdo"
"De una vez se sabia si se pasaba o no";"Totalmente en desacuerdo"
"NA";"Totalmente en desacuerdo"
"es de rapida calificacion";"Totalmente de acuerdo"
"Cuando la plataforma no tenia ningun error era bueno el sistema de calificacion automatica";"De acuerdo"
"De esta manera uno puede ser consciente rapidamente que tan habilidoso es en el tema";"Totalmente de acuerdo"
"Inmediatamente de enviar la solucion me mostraba el porcentaje obtenido.";"Totalmente de acuerdo"
"La calificacion automatica, era recibida con efectividad";"Totalmente de acuerdo"
"Aunque varia por los intentos, permite tener una estimacion aproximada";"Totalmente de acuerdo"
"Al ofrecer resultados inmediatos ayuda a la rapida verificacion y correccion";"Totalmente de acuerdo"
"Con los casos de prueba que se colocaban automaticamente daba el porcentaje de acierto y no se perdia tiempo revisando repetidas veces para ver si habia algun error";"De acuerdo"
"Porque permitia ver el porcentaje de aciertos y fallas con los casos de prueba";"Totalmente de acuerdo"
"Debido a que nos forzaba a estructurar el codigo a un  estandar , tal como en una situacion real. Tambien el hecho de que mostrara los errores podia dar pistas de los errores que podian haber en el codigo y daba mayor satisfaccion conocer las notas inmediatamente.";"Totalmente de acuerdo"
"Al subir el codigo se hace entrega inmediata de la nota.";"Totalmente de acuerdo"
"Otorgaba la cantidad de aciertos de forma casi inmediata";"Totalmente de acuerdo"
"la plataforma calificaba de forma correcta las entradas y salidas esperadas mostrando la funcionalidad del codigo";"De acuerdo"
"Porque mostraba si el programa funcionaba de forma correcta dando una puntuacion de 0-100";"Totalmente de acuerdo"
"Porque sabia si lo habia hecho bien al instante y podia encontrar los errores rapidamente";"Totalmente de acuerdo"
"porque muchas veces a pesar de tener el 90 % del codigo y le faltara cualquier cosa a la salida, se puede tener un 0% de nota, es decir, invalida lo que si esta bien hecho";"En desacuerdo"
"Podia darme cuenta de errores en las alidas de mis programas inmediatamente sin yo tener que hacer mis propios casos de prueba, agilizando mucho mi trabajo.";"Totalmente de acuerdo"
"porque daba el porcentaje de casos correctos";"Totalmente de acuerdo"
"porque agiliza el proceso de calificacion, proceso que manualmente se dificultaria para los docentes";"Totalmente de acuerdo"
"Porque a los segundos de envio del programa, el comparaba con los casos de prueba y devolvia inmediatamente el resultado";"Totalmente de acuerdo"
"Porque al ser automatico la calificacion se da forma rapida y segura";"De acuerdo"
"Daba calificaciones erroneas por espacios minimos y cosas realmente sin importancia, que requiera tanta exactitud no me parece adecuado";"Algo en desacuerdo"
"Porque muestra el porcentaje que sacamos segun las condiciones que pida el ejercicio.";"Totalmente de acuerdo"
