comment;calificacion
"Si habia un error en un caso de prueba, UNCode permitia ver la salida esperada y la entrada del codigo en ciertos casos, a veces no permitia ver los casos de prueba y eso dificultaba un poco la depuracion.";"De acuerdo"
"Eran bastante claras las instrucciones.";"Totalmente de acuerdo"
"Porque ademas de ofrecer herramientas que permiten visualizar el desarrollo del codigo, se pueden ver algunos casos de prueba que ayudan a la comprension del problema";"Totalmente de acuerdo"
"al ver los casos de prueba que estaban mal, se tenia que pensar en que podia haber quedado mal y asi mejorar y aprender de los errores";"De acuerdo"
"Nos muestra en porcentaje de casos aprobados y en muchos casos nos permite ver los casos de prueba para identificar en que estamos fallando.";"Totalmente de acuerdo"
"Si bien mencionaba los errores graves, a veces era de utilidad ver que falta/sobra un parentesis o una palabra esta mal escrita";"De acuerdo"
"Ademas de los mensajes de errores segun la linea, el limite de 999 pasos en el tutor ayuda a optimizar codigo";"Totalmente de acuerdo"
"Con un poco de tiempo se lograba entender facilmente el error que remarcaba la plataforma aunque unicamente fuera la linea y una breve descripcion, pero he de decir que esto tambien ayudaba a aprender a localizar los errores por uno mismo";"Totalmente de acuerdo"
"En la mayoria de casos podia conocer mi error, aunque algunas veces no lo permitio";"De acuerdo"
"Si daba los indicios de porque mi codigo no funcionaba";"De acuerdo"
"En mi opinion, creo que la plataforma en si es suficiente porque nosotros somos los que debemos analizar de una mejor manera el algoritmo para que cumpla funcionalmente. Sin embargo en algunos ejercicios podemos ver los errores en los casos de prueba y esto es muy util para reevaluar la logica que tenemos al escribir el codigo. Por otra parte la herramienta para escribir de una mejor manera el codigo me parece excelente.";"Algo en desacuerdo"
"Al poder comparar los resultados esperados con los resultados obtenidos, se puede hacer un contraste que deja en evidencia las falencias en los programas codificados por cada estudiante, y en caso de que aun existan dudas en cuanto a los errores cometidos, la herramienta  Python tutor  permite a todos los estudiantes ver el paso a paso de cada codigo programado";"Totalmente de acuerdo"
"En la mayoria de casos mostraba exactamente donde estaba el error";"De acuerdo"
"Imprimir los datos que imprimia mi codigo versus los que eran los esperados, ayudaba pero a veces era confuso saber que estaba mal.";"Algo de acuerdo"
"por que indicaba la linea exacta del error y el problema en si";"De acuerdo"
"Si ayudaba a darse cuenta de que errores habia pero a veces no era muy claro";"Algo de acuerdo"
"No muy clara en ciertas ocasiones, muy ambigua.";"Algo de acuerdo"
"Me daba el/los caso(s) concretos para saber que le faltaba a mi codigo para que funcionara correctamente, no era cosa de adivinar si no tratar el problema especifico";"Totalmente de acuerdo"
"Porque al esta plataforma permitir mostrar el desarrollo del programa linea por linea,  promueve a que el estudiante analice cada linea de codigo para adaptarla a los resultados que se le exigen";"Totalmente de acuerdo"
"Con los casos de prueba es dificil porque no sabes que tienes mal, y no te muestra";"Algo en desacuerdo"
"Las herramientas de Test code y Visualize your code son muy utiles frente a revisar nuestros codigos permitiendo ver un paso a paso del codigo.";"Totalmente de acuerdo"
"Porque la pagina estaba habilitada para mostrar donde estaba mal, facilitando la revision y posterior correccion. Por otra parte decir que solo esta mal sin la razon, puede que no sea de mucha utilidad en el aprendizaje.";"Totalmente de acuerdo"
"Porque te decia aveces los errores no quedaban claro en donde estaban";"Algo de acuerdo"
"Si, ya que es mas facil guiarse sabiendo exactamente donde estan los errores para proceder a corregirlos";"De acuerdo"
"Si, en la mayoria de casos las herramientas que posee me ayudaba a retroalimentar errores.";"Algo de acuerdo"
"Es de gran ayuda poder reconocer los errores que presenta mi codigo al comparar las salidas esperadas y las que produce mi codigo.";"De acuerdo"
"Porque permitia analizar las diferencias entre las respuestas obtenidas y las esperadas, ya fuesen de formato, de redondeo, por ciertas mayusculas o por errores en la ejecucion, los que se podian inferir con mayor facilidad.";"Totalmente de acuerdo"
"Se sabia donde estaba el error";"Totalmente en desacuerdo"
"Fue buena";"Algo de acuerdo"
"pues  como tal no me comunicaba cual era mi error, pero es util saber en que casos de prueba funciona mal, para uno mismo solucionar.";"Algo de acuerdo"
"Al ver en donde estaba el error era mas facil encontrar la solucion";"Totalmente de acuerdo"
"Es muy clara y precisa con los errores que esta teniendo el codigo";"Totalmente de acuerdo"
"para errores sintacticos es muy util.";"De acuerdo"
"La interfaz podria ser un poco mas clara y grafica";"Algo de acuerdo"
"Permite corregir las areas del codigo con errores, siguiendo el proceso de las variables";"Totalmente de acuerdo"
"No use mucho las herramientas de seguimiento";"Algo de acuerdo"
"La respuesta es precisa y ayuda a saber en donde tener que revisar el error";"De acuerdo"
"Porque se podia observar cuales eran los errores comparado con los casos de prueba y ademas de los errores de logica y de sintaxis";"Totalmente de acuerdo"
"Como mencione antes, permite tener pistas o indicios de donde esta el fallo. A veces podia ser un espacio extra al final de una impresion, un error sintactico y la herramienta nos permitia descubrirlos mas facilmente.";"Totalmente de acuerdo"
"Se dice cuantos casos de prueba se pasaron y cuantos no y, dependiendo del profesor, se permite la visualizacion de los inputs usados, el output esperado y el que el programa dio.Incluso si el input es muy largo y no se puede visualizar en la pantalla, es posible descargarlo y probarlo.";"Totalmente de acuerdo"
"Porque permite ver que resultados de los casos de prueba  no coinciden con la salida del programa, y se puede hacer un seguimiento a esos casos para ver en que momento del proceso la variable empieza a alejarse de la respuesta esperada";"Totalmente de acuerdo"
"muchas veces ignoraba partes importantes de codigo las cuales en algunos casos daban fallo en algun punto de respuestas";"De acuerdo"
"Esta funcion de UNcode permitia ver la linea exacta en que el codigo no funciona tal como se espera, y uno puede rectificar el error, y volver a probar";"Totalmente de acuerdo"
"Podia encontrar los errores rapidamente y solucionarlos.";"Totalmente de acuerdo"
"porque sabemos cual es nuestro error";"De acuerdo"
"Sabia exactamente y en tiempo real donde tenia errores mi codigo sin tener que buscarlo en codigos en ocasiones muy muy largos.";"Totalmente de acuerdo"
"porque permitia inferir donde estaba mal";"De acuerdo"
"Porque puedo identificar en que casos mi programa falla para asi buscar la manera de corregir las fallas";"Totalmente de acuerdo"
"La mayoria de veces, mostraba el tipo de error que se estaba cometiendo y facilitaba la tarea al momento de realizar las lineas de codigo escritas";"De acuerdo"
"Porque UnCode me permitia ver las salidas que debia tener el programa y basandome en estas salidas podia corregir los errores que haya cometido en el programa";"De acuerdo"
"Permite ver con exactitud donde estan los errores y los hace mas faciles de corregir";"Totalmente de acuerdo"
"Fue muy util, porque mostraba la parte que teniamos mala y esto nos daba una idea de que debiamos corregir.";"De acuerdo"
